,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,64.0,68,3,1.01,ZA,1619886496
1,Hamilton,39.1834,-84.5333,61.0,44,1,13.8,US,1619886241
2,Vaini,-21.2,-175.2,75.2,83,20,10.36,TO,1619886429
3,Yukhnov,54.7444,35.2297,49.23,63,61,5.55,RU,1619886518
4,Ziniaré,12.5822,-1.2983,102.2,25,0,5.75,BF,1619886518
5,Kaitangata,-46.2817,169.8464,48.0,72,1,5.99,NZ,1619886487
6,Mar del Plata,-38.0023,-57.5575,69.8,64,0,11.5,AR,1619886519
7,Olafsvik,64.8945,-23.7142,37.99,65,53,20.78,IS,1619886519
8,Lebu,-37.6167,-73.65,55.74,91,100,14.52,CL,1619886519
9,Parabel',58.6978,81.4825,37.42,78,77,14.61,RU,1619886520
10,Nacala,-14.5428,40.6728,77.09,87,37,5.55,MZ,1619886520
11,Puerto Ayora,-0.7393,-90.3518,82.4,69,75,17.27,EC,1619886520
12,Yellowknife,62.456,-114.3525,24.01,68,75,9.22,CA,1619886440
13,Loukhi,66.0764,33.0381,31.87,57,62,6.89,RU,1619886521
14,Punta Arenas,-53.15,-70.9167,44.6,81,20,11.5,CL,1619886521
15,Ballitoville,-29.539,31.2144,68.0,77,20,4.61,ZA,1619886521
16,Hobart,-42.8794,147.3294,55.4,71,99,11.5,AU,1619886340
17,Rikitea,-23.1203,-134.9692,76.44,81,83,9.15,PF,1619886522
18,Kūhdasht,33.535,47.6061,68.79,26,57,9.75,IR,1619886522
19,Hilo,19.7297,-155.09,71.6,68,40,9.22,US,1619886418
20,Bredasdorp,-34.5322,20.0403,59.0,72,0,5.75,ZA,1619886523
21,Caravelas,-17.7125,-39.2481,78.08,63,100,10.67,BR,1619886523
22,Hasaki,35.7333,140.8333,59.0,94,20,6.91,JP,1619886523
23,Portalegre,39.2938,-7.4312,61.0,38,42,13.0,PT,1619886524
24,Souillac,-20.5167,57.5167,75.2,88,40,3.44,MU,1619886524
25,Dingle,10.9995,122.6711,77.65,83,9,6.6,PH,1619886524
26,Tuktoyaktuk,69.4541,-133.0374,12.2,85,40,9.22,CA,1619886525
27,Albany,42.6001,-73.9662,48.99,70,19,1.01,US,1619886359
28,Port Alfred,-33.5906,26.891,62.6,62,0,4.32,ZA,1619886525
29,Yerbogachën,61.2767,108.0108,31.35,95,100,2.48,RU,1619886525
30,Nanortalik,60.1432,-45.2371,40.66,56,27,11.05,GL,1619886526
31,Qaanaaq,77.484,-69.3632,35.73,66,100,6.38,GL,1619886433
32,Solnechnyy,50.7214,136.6319,34.74,86,100,8.08,RU,1619886526
33,Faanui,-16.4833,-151.75,80.46,69,88,5.99,PF,1619886527
34,Paamiut,61.994,-49.6678,38.79,62,31,0.98,GL,1619886527
35,Morón,-34.6534,-58.6198,78.01,44,0,10.36,AR,1619886382
36,Kysyl-Syr,63.8986,122.7617,34.23,97,100,5.73,RU,1619886527
37,Svetlaya,46.5389,138.3297,38.86,83,86,4.25,RU,1619886528
38,Gualeguay,-33.1416,-59.3097,73.69,53,0,10.38,AR,1619886528
39,Saravan,39.7196,45.6483,50.27,77,82,4.92,AM,1619886528
40,Porto-Novo,6.4965,2.6036,89.6,70,40,16.11,BJ,1619886529
41,Longyearbyen,78.2186,15.6401,21.2,63,20,9.22,SJ,1619886529
42,Cocobeach,1.0002,9.5823,84.2,79,40,6.91,GA,1619886529
43,Bluff,-46.6,168.3333,46.0,87,3,5.99,NZ,1619886530
44,Roswell,34.0232,-84.3616,75.0,35,1,3.44,US,1619886236
45,Ushuaia,-54.8,-68.3,42.8,75,20,10.36,AR,1619886349
46,Lypnyazhka,48.4469,31.0761,65.77,65,83,7.27,UA,1619886530
47,Sinnamary,5.3833,-52.95,81.79,77,99,9.08,GF,1619886530
48,Ilo,-17.6394,-71.3375,69.8,68,0,13.8,PE,1619886531
49,Ballina,-28.8667,153.5667,69.8,73,75,10.36,AU,1619886531
50,Husavik,66.0449,-17.3389,37.4,70,75,9.22,IS,1619886528
51,Arman',59.7,150.1667,30.25,93,99,3.24,RU,1619886532
52,Sokoto,13.0609,5.239,106.18,3,9,9.06,NG,1619886532
53,Otuzco,-7.9,-78.5833,66.2,82,90,10.36,PE,1619886532
54,New Norfolk,-42.7826,147.0587,54.0,65,100,3.18,AU,1619886532
55,Inhambane,-23.865,35.3833,73.4,83,40,12.66,MZ,1619886533
56,Rocha,-34.4833,-54.3333,72.81,57,0,6.98,UY,1619886533
57,Okhotsk,59.3833,143.3,31.26,88,100,0.2,RU,1619886533
58,Vardø,70.3705,31.1107,32.76,75,85,7.34,NO,1619886534
59,Iqaluit,63.7506,-68.5145,39.2,75,90,17.27,CA,1619886534
60,Atuona,-9.8,-139.0333,78.15,74,9,6.11,PF,1619886534
61,Cape Town,-33.9258,18.4232,62.01,72,0,11.5,ZA,1619886305
62,San Quintín,30.4833,-115.95,66.99,68,88,10.42,MX,1619886535
63,Coquimbo,-29.9533,-71.3436,62.6,63,0,11.5,CL,1619886255
64,Berdigestyakh,62.0989,126.6992,33.46,98,100,4.0,RU,1619886535
65,Berlevåg,70.8578,29.0864,34.79,77,100,19.08,NO,1619886449
66,Esperance,-33.8667,121.9,53.6,87,2,9.22,AU,1619886536
67,Jamestown,42.097,-79.2353,53.01,36,1,12.66,US,1619886409
68,Keti Bandar,24.1447,67.4497,85.41,62,96,15.95,PK,1619886536
69,Uruçuí,-7.2294,-44.5561,90.01,41,49,9.57,BR,1619886537
70,Saint George,37.1041,-113.5841,78.01,26,1,4.61,US,1619886392
71,Mataura,-46.1927,168.8643,46.0,87,3,5.99,NZ,1619886537
72,Acapulco de Juárez,16.8634,-99.8901,82.4,69,90,6.91,MX,1619886538
73,Erdenet,49.0333,104.0833,46.76,59,60,4.25,MN,1619886538
74,Great Yarmouth,52.6083,1.7305,48.99,71,75,8.05,GB,1619886538
75,East London,-33.0153,27.9116,60.8,82,0,2.3,ZA,1619886478
76,Cabedelo,-6.9811,-34.8339,87.8,58,40,16.11,BR,1619886488
77,Thompson,55.7435,-97.8558,21.2,86,90,11.5,CA,1619886539
78,Kapaa,22.0752,-159.319,73.4,88,90,10.36,US,1619886477
79,Nakapiripirit,1.9167,34.7833,74.93,61,84,4.27,UG,1619886539
80,Klaksvík,62.2266,-6.589,35.6,93,75,3.44,FO,1619886540
81,Saldanha,-33.0117,17.9442,69.8,40,3,6.91,ZA,1619886431
82,Makkah al Mukarramah,21.4267,39.8261,89.89,37,48,6.71,SA,1619886540
83,Papara,-3.9839,-38.7273,87.8,62,40,11.5,BR,1619886541
84,Barrow,71.2906,-156.7887,21.2,86,90,8.05,US,1619886434
85,Santa Cruz de la Sierra,-17.8,-63.1667,82.4,44,1,14.97,BO,1619886315
86,Chaiya,9.3862,99.1986,81.0,94,20,1.14,TH,1619886541
87,Bandar-e Lengeh,26.5579,54.8807,86.0,45,40,4.61,IR,1619886541
88,Butaritari,3.0707,172.7902,82.31,75,100,9.08,KI,1619886542
89,Huarmey,-10.0681,-78.1522,72.5,75,11,10.16,PE,1619886542
90,Kavieng,-2.5744,150.7967,81.75,76,87,4.54,PG,1619886452
91,Bundaberg,-24.85,152.35,69.01,94,75,8.05,AU,1619886543
92,Arraial do Cabo,-22.9661,-42.0278,71.6,83,75,4.61,BR,1619886543
93,Provideniya,64.3833,-173.3,20.57,73,91,5.64,RU,1619886543
94,Upernavik,72.7868,-56.1549,32.5,78,75,1.79,GL,1619886435
95,Hobbs,32.7026,-103.136,64.99,55,20,1.45,US,1619886246
96,Saint Anthony,45.0205,-93.218,75.99,35,1,10.36,US,1619886544
97,Pemangkat,1.1667,108.9667,79.18,84,90,6.91,ID,1619886544
98,Belyy Yar,53.6039,91.3903,44.6,65,0,6.71,RU,1619886544
99,Buala,-8.145,159.5921,78.87,80,76,0.83,SB,1619886545
100,Ilulissat,69.2167,-51.1,39.2,48,20,5.75,GL,1619886545
101,Zhigansk,66.7697,123.3711,30.81,94,100,4.85,RU,1619886545
102,Nowy Dwór Mazowiecki,52.4302,20.7165,51.01,100,20,8.05,PL,1619886499
103,Beringovskiy,63.05,179.3167,19.58,82,100,11.05,RU,1619886546
104,Yulara,-25.2406,130.9889,59.0,38,81,5.75,AU,1619886546
105,Sursk,53.0754,45.6846,55.99,99,100,6.64,RU,1619886546
106,Ponta do Sol,32.6667,-17.1,62.01,61,66,1.99,PT,1619886547
107,Iracoubo,5.4802,-53.2011,81.41,77,100,7.83,GF,1619886547
108,Eral,8.6333,78.0167,84.97,67,90,8.46,IN,1619886547
109,Saskylakh,71.9167,114.0833,30.78,98,100,2.66,RU,1619886548
110,Sayyan,15.1718,44.3244,56.75,77,99,3.85,YE,1619886548
111,Pangascasan,16.1169,120.0866,80.33,77,2,6.35,PH,1619886548
112,Nikolskoye,59.7035,30.7861,44.6,57,20,11.18,RU,1619886549
113,Saint-François,46.4154,3.9054,51.8,82,90,6.91,FR,1619886549
114,Avarua,-21.2078,-159.775,77.0,78,75,5.75,CK,1619886549
115,Taiyuan,37.8694,112.5603,57.2,35,0,13.42,CN,1619886550
116,Quatre Cocos,-20.2078,57.7625,75.99,88,40,3.44,MU,1619886550
117,‘Ewa Beach,21.3156,-158.0072,75.2,69,40,11.5,US,1619886387
118,Øksfjord,70.2396,22.3479,33.8,60,20,11.5,NO,1619886533
119,Oranjemund,-28.55,16.4333,73.83,37,0,9.98,NA,1619886551
120,Wuwei,37.9281,102.6414,65.82,18,89,4.56,CN,1619886551
121,Ozieri,40.586,9.0012,68.0,60,20,24.16,IT,1619886551
122,Deputatsky,69.3,139.9,19.92,98,100,2.48,RU,1619886552
123,George Town,5.4112,100.3354,82.4,88,40,8.05,MY,1619886276
124,Hithadhoo,-0.6,73.0833,84.88,68,99,6.33,MV,1619886552
125,Busselton,-33.65,115.3333,57.99,94,79,3.11,AU,1619886552
126,Yatou,37.15,122.3833,45.7,87,23,10.63,CN,1619886553
127,Pevek,69.7008,170.3133,5.36,96,100,7.11,RU,1619886553
128,Visnes,59.3556,5.2242,48.2,66,9,9.22,NO,1619886553
129,Ribeira Grande,38.5167,-28.7,62.6,94,75,11.5,PT,1619886554
130,Severo-Kuril'sk,50.6789,156.125,35.78,97,100,22.55,RU,1619886457
131,San Luis,-33.295,-66.3356,72.48,32,2,6.38,AR,1619886328
132,Pontal do Paraná,-25.6533,-48.5128,75.2,68,75,10.36,BR,1619886554
